wavenumber,P88812Cl,P88812NO3,NaNO3
4000,86.56,92.39,105.9
3999,86.57,92.4,105.88
3998,86.58,92.4,105.89
3997,86.56,92.41,105.86
3996,86.57,92.41,105.86
3995,86.59,92.42,105.88
3994,86.59,92.42,105.86
3993,86.56,92.4,105.86
3992,86.58,92.41,105.86
3991,86.61,92.41,105.82
3990,86.59,92.42,105.86
3989,86.56,92.39,105.91
3988,86.54,92.37,105.9
3987,86.54,92.37,105.88
3986,86.54,92.38,105.88
3985,86.56,92.4,105.9
3984,86.57,92.41,105.9
3983,86.57,92.4,105.89
3982,86.56,92.4,105.87
3981,86.54,92.4,105.89
3980,86.56,92.39,105.9
3979,86.54,92.37,105.87
3978,86.55,92.4,105.87
3977,86.56,92.41,105.85
3976,86.59,92.41,105.84
3975,86.59,92.4,105.88
3974,86.56,92.39,105.87
3973,86.56,92.4,105.88
3972,86.56,92.4,105.89
3971,86.55,92.39,105.86
3970,86.54,92.38,105.84
3969,86.57,92.36,105.85
3968,86.54,92.35,105.91
3967,86.52,92.38,105.91
3966,86.54,92.38,105.88
3965,86.52,92.37,105.9
3964,86.54,92.4,105.87
3963,86.58,92.41,105.83
3962,86.65,92.44,105.82
3961,86.58,92.39,105.86
3960,86.54,92.36,105.88
3959,86.58,92.41,105.87
3958,86.56,92.38,105.88
3957,86.54,92.4,105.86
3956,86.52,92.38,105.89
3955,86.55,92.37,105.9
3954,86.54,92.4,105.9
3953,86.56,92.41,105.9
3952,86.59,92.47,105.79
3951,86.63,92.51,105.76
3950,86.73,92.54,105.7
3949,86.72,92.53,105.68
3948,86.69,92.47,105.72
3947,86.65,92.42,105.82
3946,86.56,92.38,105.87
3945,86.6,92.52,105.74
3944,86.75,92.57,105.68
3943,86.83,92.56,105.58
3942,86.7,92.46,105.78
3941,86.52,92.3,105.89
3940,86.55,92.4,105.86
3939,86.55,92.37,105.91
3938,86.52,92.36,105.9
3937,86.51,92.37,105.94
3936,86.54,92.39,105.89
3935,86.59,92.46,105.87
3934,86.76,92.6,105.68
3933,86.81,92.67,105.52
3932,86.79,92.58,105.66
3931,86.72,92.46,105.67
3930,86.62,92.47,105.77
3929,86.57,92.39,105.85
3928,86.51,92.39,105.86
3927,86.63,92.51,105.76
3926,86.72,92.65,105.63
3925,86.8,92.6,105.62
